ProductKey,ProductCode,ProductName,Category,Subcategory,Color,Size,Brand,UnitCost,UnitPriceBase,SupplierID,SupplierName,MinStock,LeadTimeDays
678,TOY-0678,عروسک خرسی سبز کوچک,عروسک,پولیشی,سبز,کوچک,پلی‌تویز,320921,593703,5,پارس اسباب‌بازی,8,29
725,TOY-0725,دندانگیر چندرنگ بزرگ,نوزاد و خردسال,پازل چوبی,چندرنگ,بزرگ,تویز,804428,1520368,6,نوین تویز,32,14
734,TOY-0734,پازل نقشه ایران سفید بزرگ,فکری و آموزشی,کتاب داستان,سفید,بزرگ,پاندورا,470381,851389,8,ماهان تویز,49,20
749,TOY-0749,پازل ۱۰۰ تکه سفید خانواده,فکری و آموزشی,بازی فکری,سفید,خانواده,شادی,788916,1451605,10,دنیای شادی,22,10
771,TOY-0771,توپ بسکتبال زرد متوسط,بازی در فضای باز,دوچرخه,زرد,متوسط,تویز,32248,46114,6,نوین تویز,40,27
825,TOY-0825,فشفشه مشکی متوسط,مهمانی و بادکنک,فشفشه,مشکی,متوسط,دنیای اسباب‌بازی,652604,1135530,2,تویز لند,20,13
865,TOY-0865,کلاه جشن تولد نارنجی خانواده,مهمانی و بادکنک,فشفشه,نارنجی,خانواده,تویز,85971,143571,5,پارس اسباب‌بازی,30,16
985,TOY-0985,دوچرخه کودک نارنجی خانواده,بازی در فضای باز,استخر بادی,نارنجی,خانواده,آسمان,570172,940783,7,آریا اسباب‌بازی,37,21
1017,TOY-1017,کتاب قصه‌های کهن سبز متوسط,فکری و آموزشی,وسایل آموزشی,سبز,متوسط,فانتزی,432522,791515,5,پارس اسباب‌بازی,20,10
1039,TOY-1039,ربات جنگجو سبز بزرگ,اکشن فیگور,ربات,سبز,بزرگ,فانتزی,43950,81747,10,دنیای شادی,36,6
1116,TOY-1116,فیگور بتمن نارنجی بزرگ,اکشن فیگور,ربات,نارنجی,بزرگ,پلی‌تویز,780179,1521349,2,تویز لند,12,10
1128,TOY-1128,فیگور شرک صورتی کوچک,اکشن فیگور,شخصیت کارتونی,صورتی,کوچک,کیدزلند,687770,1189842,6,نوین تویز,40,25
1265,TOY-1265,پازل سه‌بعدی برج سفید متوسط,لگو و ساختنی,ماکت,سفید,متوسط,پلی‌تویز,566518,1070719,4,کیان تویز,35,24
1282,TOY-1282,ماشین فلزی صورتی بزرگ,ماشین و رادیویی,هواپیما,صورتی,بزرگ,تویز,70331,119562,3,بازی و شادی,10,16
1290,TOY-1290,عروسک خرسی زرد کوچک,عروسک,پارچه‌ای,زرد,کوچک,زرافه,563957,1054599,10,دنیای شادی,32,13
1313,TOY-1313,عروسک پارچه‌ای قرمز خانواده,نوزاد و خردسال,موزیکال,قرمز,خانواده,شادی,629393,1013322,7,آریا اسباب‌بازی,25,14
1355,TOY-1355,لگو آتش‌نشانی نارنجی کوچک,لگو و ساختنی,پازل سه‌بعدی,نارنجی,کوچک,آسمان,643818,1197501,5,پارس اسباب‌بازی,49,16
1479,TOY-1479,عروسک پولیشی زرد متوسط,عروسک,فیگور,زرد,متوسط,پاندورا,653511,1150179,9,پویا تویز,45,17
1492,TOY-1492,عروسک خرسی سبز کوچک,عروسک,فیگور,سبز,کوچک,پیکولو,953500,1754440,2,تویز لند,47,14
1644,TOY-1644,عروسک خرسی سفید بزرگ,عروسک,پلاستیکی,سفید,بزرگ,تویز,744378,1064460,6,نوین تویز,8,17
1715,TOY-1715,لگو آتش‌نشانی قرمز متوسط,لگو و ساختنی,ماکت,قرمز,متوسط,دنیای اسباب‌بازی,998369,1717194,2,تویز لند,31,26
1828,TOY-1828,فشفشه مشکی بزرگ,مهمانی و بادکنک,کلاه تولد,مشکی,بزرگ,پاندورا,857686,1638180,6,نوین تویز,36,26
1861,TOY-1861,سرباز اسباب‌بازی صورتی خانواده,اکشن فیگور,شخصیت کارتونی,صورتی,خانواده,شادی,763620,1313426,9,پویا تویز,30,14
1930,TOY-1930,پازل چوبی سفید متوسط,نوزاد و خردسال,عروسک پارچه‌ای,سفید,متوسط,دنیای اسباب‌بازی,66402,115539,2,تویز لند,46,18
2039,TOY-2039,عروسک سخنگو سبز کوچک,عروسک,پولیشی,سبز,کوچک,پلی‌تویز,829032,1583451,5,پارس اسباب‌بازی,13,8
2095,TOY-2095,عروسک پارچه‌ای نارنجی کوچک,نوزاد و خردسال,پازل چوبی,نارنجی,کوچک,پلی‌تویز,252824,384292,8,ماهان تویز,32,10
2190,TOY-2190,پازل نقشه ایران سبز متوسط,فکری و آموزشی,کتاب داستان,سبز,متوسط,پلی‌تویز,134191,195918,5,پارس اسباب‌بازی,11,29
2237,TOY-2237,بلوک‌های خانه چندرنگ بزرگ,لگو و ساختنی,ماکت,چندرنگ,بزرگ,پاندورا,147331,213629,5,پارس اسباب‌بازی,7,22
2314,TOY-2314,عروسک خرسی قرمز خانواده,عروسک,پلاستیکی,قرمز,خانواده,کیدزلند,541500,1045095,6,نوین تویز,9,16
2364,TOY-2364,اسکوتر صورتی خانواده,بازی در فضای باز,توپ,صورتی,خانواده,تویز,172487,329450,9,پویا تویز,48,25
2380,TOY-2380,دوچرخه کودک صورتی متوسط,بازی در فضای باز,توپ,صورتی,متوسط,شادی,870434,1236016,6,نوین تویز,49,6
2442,TOY-2442,فیگور بتمن مشکی خانواده,اکشن فیگور,ابرقهرمان,مشکی,خانواده,کیدزلند,662910,1233012,8,ماهان تویز,10,10
2456,TOY-2456,بادکنک رنگی صورتی خانواده,مهمانی و بادکنک,ظروف یکبارمصرف,صورتی,خانواده,پلی‌تویز,821741,1635264,7,آریا اسباب‌بازی,18,27
