CostID,DateKey,CostType,Amount,Description
45,14030701,بازاریابی و تبلیغات,34564000,بازاریابی و تبلیغات - 1403/07
46,14030701,قبوض (آب، برق، گاز، تلفن),16627000,قبوض (آب، برق، گاز، تلفن) - 1403/07
47,14030701,استهلاک و تعمیرات,20464000,استهلاک و تعمیرات - 1403/07
48,14030701,حمل و نقل,26534000,حمل و نقل - 1403/07
49,14030701,سایر,8637000,سایر - 1403/07
50,14030801,اجاره,150000000,اجاره - 1403/08
51,14030801,حقوق و دستمزد,189115000,حقوق و دستمزد - 1403/08
52,14030801,بازاریابی و تبلیغات,27472000,بازاریابی و تبلیغات - 1403/08
53,14030801,قبوض (آب، برق، گاز، تلفن),13109000,قبوض (آب، برق، گاز، تلفن) - 1403/08
54,14030801,استهلاک و تعمیرات,18396000,استهلاک و تعمیرات - 1403/08
55,14030801,حمل و نقل,22007000,حمل و نقل - 1403/08
56,14030801,سایر,9333000,سایر - 1403/08
57,14030901,اجاره,150000000,اجاره - 1403/09
58,14030901,حقوق و دستمزد,205427000,حقوق و دستمزد - 1403/09
59,14030901,بازاریابی و تبلیغات,28377000,بازاریابی و تبلیغات - 1403/09
60,14030901,قبوض (آب، برق، گاز، تلفن),14415000,قبوض (آب، برق، گاز، تلفن) - 1403/09
61,14030901,استهلاک و تعمیرات,18257000,استهلاک و تعمیرات - 1403/09
62,14030901,حمل و نقل,23252000,حمل و نقل - 1403/09
63,14030901,سایر,11309000,سایر - 1403/09
64,14031001,اجاره,150000000,اجاره - 1403/10
65,14031001,حقوق و دستمزد,205921000,حقوق و دستمزد - 1403/10
66,14031001,بازاریابی و تبلیغات,37571000,بازاریابی و تبلیغات - 1403/10
67,14031001,قبوض (آب، برق، گاز، تلفن),13520000,قبوض (آب، برق، گاز، تلفن) - 1403/10
68,14031001,استهلاک و تعمیرات,21374000,استهلاک و تعمیرات - 1403/10
69,14031001,حمل و نقل,22475000,حمل و نقل - 1403/10
70,14031001,سایر,9638000,سایر - 1403/10
71,14031101,اجاره,150000000,اجاره - 1403/11
72,14031101,حقوق و دستمزد,219580000,حقوق و دستمزد - 1403/11
73,14031101,بازاریابی و تبلیغات,41183000,بازاریابی و تبلیغات - 1403/11
74,14031101,قبوض (آب، برق، گاز، تلفن),15256000,قبوض (آب، برق، گاز، تلفن) - 1403/11
75,14031101,استهلاک و تعمیرات,21107000,استهلاک و تعمیرات - 1403/11
76,14031101,حمل و نقل,27571000,حمل و نقل - 1403/11
77,14031101,سایر,10827000,سایر - 1403/11
78,14031201,اجاره,150000000,اجاره - 1403/12
79,14031201,حقوق و دستمزد,189161000,حقوق و دستمزد - 1403/12
80,14031201,بازاریابی و تبلیغات,48770000,بازاریابی و تبلیغات - 1403/12
81,14031201,قبوض (آب، برق، گاز، تلفن),14169000,قبوض (آب، برق، گاز، تلفن) - 1403/12
82,14031201,استهلاک و تعمیرات,18606000,استهلاک و تعمیرات - 1403/12
83,14031201,حمل و نقل,22832000,حمل و نقل - 1403/12
84,14031201,سایر,11328000,سایر - 1403/12
85,14040101,اجاره,150000000,اجاره - 1404/01
86,14040101,حقوق و دستمزد,236560000,حقوق و دستمزد - 1404/01
87,14040101,بازاریابی و تبلیغات,41664000,بازاریابی و تبلیغات - 1404/01
88,14040101,قبوض (آب، برق، گاز، تلفن),15699000,قبوض (آب، برق، گاز، تلفن) - 1404/01
89,14040101,استهلاک و تعمیرات,19373000,استهلاک و تعمیرات - 1404/01
90,14040101,حمل و نقل,28109000,حمل و نقل - 1404/01
91,14040101,سایر,9876000,سایر - 1404/01
92,14040201,اجاره,150000000,اجاره - 1404/02
93,14040201,حقوق و دستمزد,209654000,حقوق و دستمزد - 1404/02
94,14040201,بازاریابی و تبلیغات,32351000,بازاریابی و تبلیغات - 1404/02
95,14040201,قبوض (آب، برق، گاز، تلفن),15276000,قبوض (آب، برق، گاز، تلفن) - 1404/02
96,14040201,استهلاک و تعمیرات,18576000,استهلاک و تعمیرات - 1404/02
97,14040201,حمل و نقل,25634000,حمل و نقل - 1404/02
98,14040201,سایر,11193000,سایر - 1404/02
99,14040301,اجاره,150000000,اجاره - 1404/03
100,14040301,حقوق و دستمزد,215573000,حقوق و دستمزد - 1404/03
101,14040301,بازاریابی و تبلیغات,26631000,بازاریابی و تبلیغات - 1404/03
102,14040301,قبوض (آب، برق، گاز، تلفن),17238000,قبوض (آب، برق، گاز، تلفن) - 1404/03
103,14040301,استهلاک و تعمیرات,20057000,استهلاک و تعمیرات - 1404/03
104,14040301,حمل و نقل,21931000,حمل و نقل - 1404/03
105,14040301,سایر,8641000,سایر - 1404/03
106,14040401,اجاره,150000000,اجاره - 1404/04
107,14040401,حقوق و دستمزد,202824000,حقوق و دستمزد - 1404/04
108,14040401,بازاریابی و تبلیغات,40988000,بازاریابی و تبلیغات - 1404/04
109,14040401,قبوض (آب، برق، گاز، تلفن),16314000,قبوض (آب، برق، گاز، تلفن) - 1404/04
110,14040401,استهلاک و تعمیرات,19532000,استهلاک و تعمیرات - 1404/04
111,14040401,حمل و نقل,21726000,حمل و نقل - 1404/04
112,14040401,سایر,9644000,سایر - 1404/04
113,14040501,اجاره,150000000,اجاره - 1404/05
114,14040501,حقوق و دستمزد,241829000,حقوق و دستمزد - 1404/05
115,14040501,بازاریابی و تبلیغات,45524000,بازاریابی و تبلیغات - 1404/05
116,14040501,قبوض (آب، برق، گاز، تلفن),17119000,قبوض (آب، برق، گاز، تلفن) - 1404/05
117,14040501,استهلاک و تعمیرات,22164000,استهلاک و تعمیرات - 1404/05
118,14040501,حمل و نقل,21336000,حمل و نقل - 1404/05
119,14040501,سایر,10662000,سایر - 1404/05
120,14040601,اجاره,150000000,اجاره - 1404/06
121,14040601,حقوق و دستمزد,227995000,حقوق و دستمزد - 1404/06
122,14040601,بازاریابی و تبلیغات,42621000,بازاریابی و تبلیغات - 1404/06
123,14040601,قبوض (آب، برق، گاز، تلفن),13950000,قبوض (آب، برق، گاز، تلفن) - 1404/06
124,14040601,استهلاک و تعمیرات,20845000,استهلاک و تعمیرات - 1404/06
125,14040601,حمل و نقل,22086000,حمل و نقل - 1404/06
126,14040601,سایر,9804000,سایر - 1404/06
127,14040701,اجاره,150000000,اجاره - 1404/07
128,14040701,حقوق و دستمزد,217963000,حقوق و دستمزد - 1404/07
129,14040701,بازاریابی و تبلیغات,38990000,بازاریابی و تبلیغات - 1404/07
130,14040701,قبوض (آب، برق، گاز، تلفن),16691000,قبوض (آب، برق، گاز، تلفن) - 1404/07
131,14040701,استهلاک و تعمیرات,18580000,استهلاک و تعمیرات - 1404/07
132,14040701,حمل و نقل,25004000,حمل و نقل - 1404/07
133,14040701,سایر,9035000,سایر - 1404/07
134,14040801,اجاره,150000000,اجاره - 1404/08
135,14040801,حقوق و دستمزد,238155000,حقوق و دستمزد - 1404/08
136,14040801,بازاریابی و تبلیغات,34446000,بازاریابی و تبلیغات - 1404/08
137,14040801,قبوض (آب، برق، گاز، تلفن),14093000,قبوض (آب، برق، گاز، تلفن) - 1404/08
138,14040801,استهلاک و تعمیرات,20833000,استهلاک و تعمیرات - 1404/08
139,14040801,حمل و نقل,25817000,حمل و نقل - 1404/08
140,14040801,سایر,8958000,سایر - 1404/08
141,14040901,اجاره,150000000,اجاره - 1404/09
142,14040901,حقوق و دستمزد,231550000,حقوق و دستمزد - 1404/09
143,14040901,بازاریابی و تبلیغات,30472000,بازاریابی و تبلیغات - 1404/09
144,14040901,قبوض (آب، برق، گاز، تلفن),16253000,قبوض (آب، برق، گاز، تلفن) - 1404/09
145,14040901,استهلاک و تعمیرات,20182000,استهلاک و تعمیرات - 1404/09
146,14040901,حمل و نقل,21254000,حمل و نقل - 1404/09
147,14040901,سایر,9472000,سایر - 1404/09
148,14041001,اجاره,150000000,اجاره - 1404/10
149,14041001,حقوق و دستمزد,198856000,حقوق و دستمزد - 1404/10
150,14041001,بازاریابی و تبلیغات,42179000,بازاریابی و تبلیغات - 1404/10
151,14041001,قبوض (آب، برق، گاز، تلفن),16704000,قبوض (آب، برق، گاز، تلفن) - 1404/10
152,14041001,استهلاک و تعمیرات,21989000,استهلاک و تعمیرات - 1404/10
153,14041001,حمل و نقل,23556000,حمل و نقل - 1404/10
154,14041001,سایر,8673000,سایر - 1404/10
155,14041101,اجاره,150000000,اجاره - 1404/11
156,14041101,حقوق و دستمزد,236632000,حقوق و دستمزد - 1404/11
157,14041101,بازاریابی و تبلیغات,45972000,بازاریابی و تبلیغات - 1404/11
158,14041101,قبوض (آب، برق، گاز، تلفن),13135000,قبوض (آب، برق، گاز، تلفن) - 1404/11
159,14041101,استهلاک و تعمیرات,19915000,استهلاک و تعمیرات - 1404/11
160,14041101,حمل و نقل,21769000,حمل و نقل - 1404/11
161,14041101,سایر,10781000,سایر - 1404/11
162,14041201,اجاره,150000000,اجاره - 1404/12
163,14041201,حقوق و دستمزد,231696000,حقوق و دستمزد - 1404/12
164,14041201,بازاریابی و تبلیغات,51081000,بازاریابی و تبلیغات - 1404/12
165,14041201,قبوض (آب، برق، گاز، تلفن),14888000,قبوض (آب، برق، گاز، تلفن) - 1404/12
166,14041201,استهلاک و تعمیرات,20298000,استهلاک و تعمیرات - 1404/12
167,14041201,حمل و نقل,23237000,حمل و نقل - 1404/12
168,14041201,سایر,11117000,سایر - 1404/12
169,14050101,اجاره,150000000,اجاره - 1405/01
170,14050101,حقوق و دستمزد,236310000,حقوق و دستمزد - 1405/01
171,14050101,بازاریابی و تبلیغات,39812000,بازاریابی و تبلیغات - 1405/01
172,14050101,قبوض (آب، برق، گاز، تلفن),15176000,قبوض (آب، برق، گاز، تلفن) - 1405/01
173,14050101,استهلاک و تعمیرات,21379000,استهلاک و تعمیرات - 1405/01
174,14050101,حمل و نقل,22758000,حمل و نقل - 1405/01
175,14050101,سایر,9435000,سایر - 1405/01
176,14050201,اجاره,150000000,اجاره - 1405/02
177,14050201,حقوق و دستمزد,263767000,حقوق و دستمزد - 1405/02
178,14050201,بازاریابی و تبلیغات,38158000,بازاریابی و تبلیغات - 1405/02
179,14050201,قبوض (آب، برق، گاز، تلفن),14721000,قبوض (آب، برق، گاز، تلفن) - 1405/02
180,14050201,استهلاک و تعمیرات,20105000,استهلاک و تعمیرات - 1405/02
181,14050201,حمل و نقل,22157000,حمل و نقل - 1405/02
182,14050201,سایر,9174000,سایر - 1405/02
183,14050301,اجاره,150000000,اجاره - 1405/03
184,14050301,حقوق و دستمزد,232228000,حقوق و دستمزد - 1405/03
185,14050301,بازاریابی و تبلیغات,31059000,بازاریابی و تبلیغات - 1405/03
186,14050301,قبوض (آب، برق، گاز، تلفن),13785000,قبوض (آب، برق، گاز، تلفن) - 1405/03
187,14050301,استهلاک و تعمیرات,18321000,استهلاک و تعمیرات - 1405/03
188,14050301,حمل و نقل,21782000,حمل و نقل - 1405/03
189,14050301,سایر,10393000,سایر - 1405/03
190,14050401,اجاره,150000000,اجاره - 1405/04
191,14050401,حقوق و دستمزد,226989000,حقوق و دستمزد - 1405/04
192,14050401,بازاریابی و تبلیغات,45324000,بازاریابی و تبلیغات - 1405/04
193,14050401,قبوض (آب، برق، گاز، تلفن),16618000,قبوض (آب، برق، گاز، تلفن) - 1405/04
194,14050401,استهلاک و تعمیرات,17425000,استهلاک و تعمیرات - 1405/04
195,14050401,حمل و نقل,23035000,حمل و نقل - 1405/04
196,14050401,سایر,10506000,سایر - 1405/04
197,14050501,اجاره,150000000,اجاره - 1405/05
198,14050501,حقوق و دستمزد,226283000,حقوق و دستمزد - 1405/05
199,14050501,بازاریابی و تبلیغات,38381000,بازاریابی و تبلیغات - 1405/05
200,14050501,قبوض (آب، برق، گاز، تلفن),16959000,قبوض (آب، برق، گاز، تلفن) - 1405/05
201,14050501,استهلاک و تعمیرات,20426000,استهلاک و تعمیرات - 1405/05
202,14050501,حمل و نقل,24795000,حمل و نقل - 1405/05
203,14050501,سایر,10853000,سایر - 1405/05
